raw_name,canonical_name,method,confidence,resolved_at
CircuitHub,,UNRESOLVED,0.0,2026-06-24T11:52:35.237686
iCracked,,UNRESOLVED,0.0,2026-06-24T11:52:35.260587
42Floors,,UNRESOLVED,0.0,2026-06-24T11:52:35.285080
PlanGrid,,UNRESOLVED,0.0,2026-06-24T11:52:35.309481
WireOver,,UNRESOLVED,0.0,2026-06-24T11:52:35.335488
The Muse,,UNRESOLVED,0.0,2026-06-24T11:52:35.360011
SendHub,,UNRESOLVED,0.0,2026-06-24T11:52:35.384571
Hipmob,,UNRESOLVED,0.0,2026-06-24T11:52:35.405516
MyVR,,UNRESOLVED,0.0,2026-06-24T11:52:35.429787
HireArt,,UNRESOLVED,0.0,2026-06-24T11:52:35.455370
Amiato,,UNRESOLVED,0.0,2026-06-24T11:52:35.480683
Medigram,,UNRESOLVED,0.0,2026-06-24T11:52:35.506931
Couple,,UNRESOLVED,0.0,2026-06-24T11:52:35.530983
HackPad,,UNRESOLVED,0.0,2026-06-24T11:52:35.557277
Rescale,,UNRESOLVED,0.0,2026-06-24T11:52:35.611347
SlidePay,,UNRESOLVED,0.0,2026-06-24T11:52:35.634068
Tap to Learn,,UNRESOLVED,0.0,2026-06-24T11:52:35.656381
Optilly/Installmonetizer,,UNRESOLVED,0.0,2026-06-24T11:52:35.680912
BookSolid,,UNRESOLVED,0.0,2026-06-24T11:52:35.702532
Gusto,,UNRESOLVED,0.0,2026-06-24T11:52:35.730279
FamilyLeaf,,UNRESOLVED,0.0,2026-06-24T11:52:35.754497
Marft,,UNRESOLVED,0.0,2026-06-24T11:52:35.773158
Minefold,,UNRESOLVED,0.0,2026-06-24T11:52:35.800946
Zipio,,UNRESOLVED,0.0,2026-06-24T11:52:35.826951
Chute,,UNRESOLVED,0.0,2026-06-24T11:52:35.846949
Matterport,,UNRESOLVED,0.0,2026-06-24T11:52:35.874615
Shoptiques,,UNRESOLVED,0.0,2026-06-24T11:52:35.896962
CleverDeck,,UNRESOLVED,0.0,2026-06-24T11:52:35.925312
Make School,,UNRESOLVED,0.0,2026-06-24T11:52:35.950366
Pixelapse,,UNRESOLVED,0.0,2026-06-24T11:52:35.976519
Screenleap,,UNRESOLVED,0.0,2026-06-24T11:52:36.000666
Talkray (TiKL),,UNRESOLVED,0.0,2026-06-24T11:52:36.026341
Zillabyte,,UNRESOLVED,0.0,2026-06-24T11:52:36.047232
Exec,,UNRESOLVED,0.0,2026-06-24T11:52:36.097291
Grouper,,UNRESOLVED,0.0,2026-06-24T11:52:36.118349
Amplitude,,UNRESOLVED,0.0,2026-06-24T11:52:36.139412
LendUp,,UNRESOLVED,0.0,2026-06-24T11:52:36.163197
Tilt,,UNRESOLVED,0.0,2026-06-24T11:52:36.185711
Brace,,UNRESOLVED,0.0,2026-06-24T11:52:36.205904
Swiftype,,UNRESOLVED,0.0,2026-06-24T11:52:36.236088
LVL6,,UNRESOLVED,0.0,2026-06-24T11:52:36.261302
BarSense,,UNRESOLVED,0.0,2026-06-24T11:52:36.284222
FarmLogs,,UNRESOLVED,0.0,2026-06-24T11:52:36.312065
99dresses,,UNRESOLVED,0.0,2026-06-24T11:52:36.336834
Authy,,UNRESOLVED,0.0,2026-06-24T11:52:36.361389
Flutter,,UNRESOLVED,0.0,2026-06-24T11:52:36.381953
Fond,,UNRESOLVED,0.0,2026-06-24T11:52:36.405478
Per Vices,,UNRESOLVED,0.0,2026-06-24T11:52:36.430164
Loom,,UNRESOLVED,0.0,2026-06-24T11:52:36.457482
Documents.Me,,UNRESOLVED,0.0,2026-06-24T11:52:36.480131
Ark,,UNRESOLVED,0.0,2026-06-24T11:52:36.505428
SolidStage,,UNRESOLVED,0.0,2026-06-24T11:52:36.526998
YourMechanic,,UNRESOLVED,0.0,2026-06-24T11:52:36.551550
Priceonomics,,UNRESOLVED,0.0,2026-06-24T11:52:36.576021
Sendwave,,UNRESOLVED,0.0,2026-06-24T11:52:36.596757
Glider,,UNRESOLVED,0.0,2026-06-24T11:52:36.623080
Medmonk,,UNRESOLVED,0.0,2026-06-24T11:52:36.646864
Carsabi,,UNRESOLVED,0.0,2026-06-24T11:52:36.671030
Y Combinator,,UNRESOLVED,0.0,2026-06-24T11:52:36.694996
Socialcam,,UNRESOLVED,0.0,2026-06-24T11:52:36.720951
GiveSpark,,UNRESOLVED,0.0,2026-06-24T11:52:36.744143
Shopular,,UNRESOLVED,0.0,2026-06-24T11:52:36.770140
Picplum,,UNRESOLVED,0.0,2026-06-24T11:52:36.792899
Freshplum,,UNRESOLVED,0.0,2026-06-24T11:52:36.816944
Clutch,,UNRESOLVED,0.0,2026-06-24T11:52:36.838620
Apollo,,UNRESOLVED,0.0,2026-06-24T11:52:36.861972
HackerRank,,UNRESOLVED,0.0,2026-06-24T11:52:36.887568
Stypi,,UNRESOLVED,0.0,2026-06-24T11:52:36.911768
Genius,,UNRESOLVED,0.0,2026-06-24T11:52:36.930395
OneSignal,,UNRESOLVED,0.0,2026-06-24T11:52:36.960646
Zigfu,,UNRESOLVED,0.0,2026-06-24T11:52:36.984566
PayDragon,,UNRESOLVED,0.0,2026-06-24T11:52:37.005152
Aisle50,,UNRESOLVED,0.0,2026-06-24T11:52:37.030652
Debteye,,UNRESOLVED,0.0,2026-06-24T11:52:37.054137
Proxino,,UNRESOLVED,0.0,2026-06-24T11:52:37.076868
Streak,,UNRESOLVED,0.0,2026-06-24T11:52:37.099251
Science Exchange,,UNRESOLVED,0.0,2026-06-24T11:52:37.122207
PhoneSys,,UNRESOLVED,0.0,2026-06-24T11:52:37.147117
Quartzy,,UNRESOLVED,0.0,2026-06-24T11:52:37.171721
Codecademy,,UNRESOLVED,0.0,2026-06-24T11:52:37.196352
Cryptoseal,,UNRESOLVED,0.0,2026-06-24T11:52:37.222738
Segment,,UNRESOLVED,0.0,2026-06-24T11:52:37.245499
Citus Data,,UNRESOLVED,0.0,2026-06-24T11:52:37.267672
AgileMD,,UNRESOLVED,0.0,2026-06-24T11:52:37.288419
Clerky,,UNRESOLVED,0.0,2026-06-24T11:52:37.313698
Quad,,UNRESOLVED,0.0,2026-06-24T11:52:37.337915
Dubjoy,,UNRESOLVED,0.0,2026-06-24T11:52:37.359132
Zenbox,,UNRESOLVED,0.0,2026-06-24T11:52:37.382455
Realm,,UNRESOLVED,0.0,2026-06-24T11:52:37.407979
Firebase,,UNRESOLVED,0.0,2026-06-24T11:52:37.431506
GoCardless,,UNRESOLVED,0.0,2026-06-24T11:52:37.455462
Pagelever,,UNRESOLVED,0.0,2026-06-24T11:52:37.479789
MarketBrief,,UNRESOLVED,0.0,2026-06-24T11:52:37.508335
Fobo,,UNRESOLVED,0.0,2026-06-24T11:52:37.531048
Sift,,UNRESOLVED,0.0,2026-06-24T11:52:37.559221
Verbling,,UNRESOLVED,0.0,2026-06-24T11:52:37.585723
Embark,,UNRESOLVED,0.0,2026-06-24T11:52:37.611092
LeadGenius,,UNRESOLVED,0.0,2026-06-24T11:52:37.634863
Caviar,,UNRESOLVED,0.0,2026-06-24T11:52:37.665248
Interstate,,UNRESOLVED,0.0,2026-06-24T11:52:37.688236
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:37.886544
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:37.909809
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:37.931878
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:37.955536
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:37.980136
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:38.003219
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:38.022232
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:38.047147
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:38.071396
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:38.097537
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:38.122327
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:38.147625
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:38.168863
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:38.188626
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:38.214174
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:38.238793
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:38.263828
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:38.288472
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:38.313573
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:38.338003
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:38.355160
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:38.382697
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:38.405341
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:38.432228
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:38.454857
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:38.479305
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:38.503519
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:38.525138
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:38.554989
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:38.577542
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:38.607190
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:38.629994
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:38.659034
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:38.680049
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:38.714506
Unknown,,UNRESOLVED,0.0,2026-06-24T11:52:38.744627
