source_url,payload,collectedAt
https://arxiv.org/abs/2606.24597,"{""schemaVersion"": ""1.0"", ""recordType"": ""RESEARCH_PAPER"", ""content"": {""title"": ""Qwen-AgentWorld: Language World Models for General Agents"", ""authors"": [""Yuxin Zuo"", ""Zikai Xiao"", ""Li Sheng"", ""Fei Huang"", ""Jianhong Tu"", ""Yuxuan Liu"", ""Tianyi Tang"", ""Xiaomeng Hu"", ""Yang Su"", ""Qingfeng Lan"", ""Yantao Liu"", ""Qin Zhu"", ""Yinger Zhang"", ""Bowen Yu"", ""Haiquan Zhao"", ""Haiyang Xu"", ""Jianxin Yang"", ""Jiayang Cheng"", ""Junyang Wang"", ""Lianghao Deng"", ""Mingfeng Xue"", ""Tianyi Bai"", ""Yang Fan"", ""Yubo Ma"", ""Yucheng Li"", ""Zeyu Cui"", ""Zhihai Wang"", ""Zhihui Xie"", ""Zhuorui Ye"", ""An Yang"", ""Dayiheng Liu"", ""Jingren Zhou"", ""Ning Ding""], ""paper_url"": ""https://arxiv.org/abs/2606.24597"", ""github_url"": """", ""github_stars"": 0, ""published_date"": ""2026-06-23 00:00:00+00:00"", ""research_domain"": ""Agents""}, ""confidence"": 0.85, ""extraction_method"": ""LLM"", ""source"": {""name"": ""ArXiv"", ""url"": ""https://arxiv.org/abs/2606.24597""}}",2026-06-24T13:42:20.554304
https://arxiv.org/abs/2606.24530,"{""schemaVersion"": ""1.0"", ""recordType"": ""RESEARCH_PAPER"", ""content"": {""title"": ""NatureBench: Can Coding Agents Match the Published SOTA of Nature-Family Papers?"", ""authors"": [""Yuru Wang"", ""Lejun Cheng"", ""Yuxin Zuo"", ""Sihang Zeng"", ""Bingxiang He"", ""Che Jiang"", ""Junlin Yang"", ""Yuchong Wang"", ""Kaikai Zhao"", ""Weifeng Huang"", ""Kai Tian"", ""Zhenzhao Yuan"", ""Jincheng Zhong"", ""Weizhi Wang"", ""Ning Ding"", ""Bowen Zhou"", ""Kaiyan Zhang""], ""paper_url"": ""https://arxiv.org/abs/2606.24530"", ""github_url"": ""https://github.com/FrontisAI/NatureBench"", ""github_stars"": 27, ""published_date"": ""2026-06-23 00:00:00+00:00"", ""research_domain"": ""Agents""}, ""confidence"": 0.85, ""extraction_method"": ""LLM"", ""source"": {""name"": ""ArXiv"", ""url"": ""https://arxiv.org/abs/2606.24530""}}",2026-06-24T13:42:29.229473
https://arxiv.org/abs/2606.19930,"{""schemaVersion"": ""1.0"", ""recordType"": ""RESEARCH_PAPER"", ""content"": {""title"": ""MobileForge: Annotation-Free Adaptation for Mobile GUI Agents with Hierarchical Feedback-Guided Policy Optimization"", ""authors"": [""Guangyi Liu"", ""Pengxiang Zhao"", ""Gao Wu"", ""Yiwen Yin"", ""Mading Li"", ""Liang Liu"", ""Congxiao Liu"", ""Zhang Qi"", ""Mengyan Wang"", ""Liang Guo"", ""Yong Liu""], ""paper_url"": ""https://arxiv.org/abs/2606.19930"", ""github_url"": ""https://github.com/kwai/MobileForge"", ""github_stars"": 44, ""published_date"": ""2026-06-18 00:00:00+00:00"", ""research_domain"": ""Agents""}, ""confidence"": 0.85, ""extraction_method"": ""LLM"", ""source"": {""name"": ""ArXiv"", ""url"": ""https://arxiv.org/abs/2606.19930""}}",2026-06-24T13:42:42.964879
https://arxiv.org/abs/2606.19926,"{""schemaVersion"": ""1.0"", ""recordType"": ""RESEARCH_PAPER"", ""content"": {""title"": ""MemGUI-Agent: An End-to-End Long-Horizon Mobile GUI Agent with Proactive Context Management"", ""authors"": [""Guangyi Liu"", ""Gao Wu"", ""Congxiao Liu"", ""Pengxiang Zhao"", ""Liang Liu"", ""Mading Li"", ""Qi Zhang"", ""Mengyan Wang"", ""Liang Guo"", ""Yong Liu""], ""paper_url"": ""https://arxiv.org/abs/2606.19926"", ""github_url"": ""https://github.com/kwai/MemGUI-Agent"", ""github_stars"": 46, ""published_date"": ""2026-06-18 00:00:00+00:00"", ""research_domain"": ""Agents""}, ""confidence"": 0.85, ""extraction_method"": ""LLM"", ""source"": {""name"": ""ArXiv"", ""url"": ""https://arxiv.org/abs/2606.19926""}}",2026-06-24T13:42:36.284451
https://arxiv.org/abs/2606.23449,"{""schemaVersion"": ""1.0"", ""recordType"": ""RESEARCH_PAPER"", ""content"": {""title"": ""AOHP: An Open-Source OS-Level Agent Harness for Personalized, Efficient and Secure Interaction"", ""authors"": [""Shanhui Zhao"", ""Jiacheng Liu"", ""Guohong Liu"", ""Jichao Yan"", ""Jialei Ye"", ""Yuhao Yang"", ""Hao Wen"", ""Shizuo Tian"", ""Yizhen Yuan"", ""Yuxuan Chen"", ""Yunxin Liu"", ""Ju Ren"", ""Ya-Qin Zhang"", ""Chao Huang"", ""Yao Guo"", ""Yuanchun Li""], ""paper_url"": ""https://arxiv.org/abs/2606.23449"", ""github_url"": ""https://github.com/aohp-os/aohp"", ""github_stars"": 57, ""published_date"": ""2026-06-22 00:00:00+00:00"", ""research_domain"": ""Agents""}, ""confidence"": 0.85, ""extraction_method"": ""LLM"", ""source"": {""name"": ""ArXiv"", ""url"": ""https://arxiv.org/abs/2606.23449""}}",2026-06-24T13:42:49.798772
https://arxiv.org/abs/2602.09379,"{""schemaVersion"": ""1.0"", ""recordType"": ""RESEARCH_PAPER"", ""content"": {""title"": ""LingxiDiagBench: A Multi-Agent Framework for Benchmarking LLMs in Chinese Psychiatric Consultation and Diagnosis"", ""authors"": [""Shihao Xu"", ""Tiancheng Zhou"", ""Jiatong Ma"", ""Yanli Ding"", ""Yiming Yan"", ""Ming Xiao"", ""Guoyi Li"", ""Haiyang Geng"", ""Yunyun Han"", ""Jianhua Chen"", ""Yafeng Deng""], ""paper_url"": ""https://arxiv.org/abs/2602.09379"", ""github_url"": ""https://github.com/Lingxi-mental-health/LingxiDiagBench"", ""github_stars"": 9, ""published_date"": ""2026-06-11 00:00:00+00:00"", ""research_domain"": ""Other""}, ""confidence"": 0.85, ""extraction_method"": ""LLM"", ""source"": {""name"": ""ArXiv"", ""url"": ""https://arxiv.org/abs/2602.09379""}}",2026-06-24T13:42:59.827397
https://arxiv.org/abs/2606.24855,"{""schemaVersion"": ""1.0"", ""recordType"": ""RESEARCH_PAPER"", ""content"": {""title"": ""OpenThoughts-Agent: Data Recipes for Agentic Models"", ""authors"": [""Negin Raoof"", ""Richard Zhuang"", ""Marianna Nezhurina"", ""Etash Guha"", ""Atula Tejaswi"", ""Ryan Marten"", ""Charlie F. Ruan"", ""Tyler Griggs"", ""Alexander Glenn Shaw"", ""Hritik Bansal"", ""E. Kelly Buchanan"", ""Artem Gazizov"", ""Reinhard Heckel"", ""Chinmay Hegde"", ""Sankalp Jajee"", ""Daanish Khazi"", ""Emmanouil Koukoumidis"", ""Xiangyi Li"", ""Hange Liu"", ""Shlok Natarajan"", ""Harsh Raj"", ""Nicholas Roberts"", ""Ethan Shen"", ""Nishad Singhi"", ""Michael Siu"", ""Ashima Suvarna"", ""Hanwen Xing"", ""Patrick Yubeaton"", ""Robert Zhang"", ""Leon Liangyu Chen"", ""Xiaokun Chen"", ""Steven Dillmann"", ""Saadia Gabriel"", ""Xunyi Jiang"", ""Anurag Kashyap"", ""Boxuan Li"", ""Yein Park"", ""Minh Pham"", ""Sujay Sanghavi"", ""Lin Shi"", ""Ke Sun"", ""Yixin Wang"", ""Zhiwei Xu"", ""Erica Zhang"", ""Siyan Zhao"", ""Wanjia Zhao"", ""Jenia Jitsev"", ""Alex Dimakis"", ""Benjamin Feuer"", ""Ludwig Schmidt""], ""paper_url"": ""https://arxiv.org/abs/2606.24855"", ""github_url"": """", ""github_stars"": 0, ""published_date"": ""2026-06-23 00:00:00+00:00"", ""research_domain"": ""LLM""}, ""confidence"": 0.85, ""extraction_method"": ""LLM"", ""source"": {""name"": ""ArXiv"", ""url"": ""https://arxiv.org/abs/2606.24855""}}",2026-06-24T13:43:08.196316
https://arxiv.org/abs/2606.22875,"{""schemaVersion"": ""1.0"", ""recordType"": ""RESEARCH_PAPER"", ""content"": {""title"": ""FedOT: Ownership Verification and Leakage Tracing via Watermarks for Federated LDMs"", ""authors"": [""Wenlong Cheng"", ""Yuan Gan"", ""Yunqiu Xu"", ""Jiaxu Miao""], ""paper_url"": ""https://arxiv.org/abs/2606.22875"", ""github_url"": """", ""github_stars"": 0, ""published_date"": ""2026-06-22 00:00:00+00:00"", ""research_domain"": ""Computer Vision""}, ""confidence"": 0.85, ""extraction_method"": ""LLM"", ""source"": {""name"": ""ArXiv"", ""url"": ""https://arxiv.org/abs/2606.22875""}}",2026-06-24T13:43:27.009406
https://arxiv.org/abs/2606.24876,"{""schemaVersion"": ""1.0"", ""recordType"": ""RESEARCH_PAPER"", ""content"": {""title"": ""FLAT: Feedforward Latent Triangle Splatting for Geometrically Accurate Scene Generation"", ""authors"": [""Orest Kupyn"", ""Goutam Bhat"", ""Philipp Henzler"", ""Fabian Manhardt"", ""Christian Rupprecht"", ""Federico Tombari""], ""paper_url"": ""https://arxiv.org/abs/2606.24876"", ""github_url"": """", ""github_stars"": 0, ""published_date"": ""2026-06-23 00:00:00+00:00"", ""research_domain"": ""Computer Vision""}, ""confidence"": 0.85, ""extraction_method"": ""LLM"", ""source"": {""name"": ""ArXiv"", ""url"": ""https://arxiv.org/abs/2606.24876""}}",2026-06-24T13:43:17.271807
https://arxiv.org/abs/2606.24428,"{""schemaVersion"": ""1.0"", ""recordType"": ""RESEARCH_PAPER"", ""content"": {""title"": ""Escaping the Self-Confirmation Trap: An Execute-Distill-Verify Paradigm for Agentic Experience Learning"", ""authors"": [""Shiding Zhu"", ""Yudi Qi"", ""Yajie Wang"", ""Jiaze Li"", ""Chao Song"", ""Yaorui Shi"", ""Yibo Miao"", ""Hanqi Gao"", ""Kai Zhang""], ""paper_url"": ""https://arxiv.org/abs/2606.24428"", ""github_url"": """", ""github_stars"": 0, ""published_date"": ""2026-06-23 00:00:00+00:00"", ""research_domain"": ""LLM""}, ""confidence"": 0.85, ""extraction_method"": ""LLM"", ""source"": {""name"": ""ArXiv"", ""url"": ""https://arxiv.org/abs/2606.24428""}}",2026-06-24T13:43:41.097527
https://arxiv.org/abs/2606.24548,"{""schemaVersion"": ""1.0"", ""recordType"": ""RESEARCH_PAPER"", ""content"": {""title"": ""Are Text-to-Image Models Inductivist Turkeys? A Counterfactual Benchmark for Causal Reasoning"", ""authors"": [""Jiayi Lei"", ""Yuandong Pu"", ""Xingyu Han"", ""Rongpeng Zhu"", ""Jing Xu"", ""Jinyao Wang"", ""Zijian Zhou"", ""Bin Fu"", ""Yuewen Cao"", ""Yihao Liu"", ""Yongsheng Li""], ""paper_url"": ""https://arxiv.org/abs/2606.24548"", ""github_url"": """", ""github_stars"": 0, ""published_date"": ""2026-06-23 00:00:00+00:00"", ""research_domain"": ""Computer Vision""}, ""confidence"": 0.85, ""extraction_method"": ""LLM"", ""source"": {""name"": ""ArXiv"", ""url"": ""https://arxiv.org/abs/2606.24548""}}",2026-06-24T13:43:56.297082
https://arxiv.org/abs/2606.24888,"{""schemaVersion"": ""1.0"", ""recordType"": ""RESEARCH_PAPER"", ""content"": {""title"": ""DiffusionBench: On Holistic Evaluation of Diffusion Transformers"", ""authors"": [""Xingjian Leng"", ""Jaskirat Singh"", ""Zhanhao Liang"", ""Ethan Smith"", ""Martin Bell"", ""Aninda Saha"", ""Yuhui Yuan"", ""Liang Zheng""], ""paper_url"": ""https://arxiv.org/abs/2606.24888"", ""github_url"": ""https://github.com/End2End-Diffusion/diffusion-bench"", ""github_stars"": 52, ""published_date"": ""2026-06-23 00:00:00+00:00"", ""research_domain"": ""Computer Vision""}, ""confidence"": 0.85, ""extraction_method"": ""LLM"", ""source"": {""name"": ""ArXiv"", ""url"": ""https://arxiv.org/abs/2606.24888""}}",2026-06-24T13:44:01.970979
https://arxiv.org/abs/2606.24231,"{""schemaVersion"": ""1.0"", ""recordType"": ""RESEARCH_PAPER"", ""content"": {""title"": ""FlowR2A: Learning Reward-to-Action Distribution for Multimodal Driving Planning"", ""authors"": [""Xirui Li"", ""Zhe Liu"", ""Xiaoqing Ye"", ""Wenhua Han"", ""Yifeng Pan"", ""Junyu Han"", ""Hengshuang Zhao""], ""paper_url"": ""https://arxiv.org/abs/2606.24231"", ""github_url"": ""https://github.com/lixirui142/FlowR2A"", ""github_stars"": 2, ""published_date"": ""2026-06-23 00:00:00+00:00"", ""research_domain"": ""Robotics""}, ""confidence"": 0.85, ""extraction_method"": ""LLM"", ""source"": {""name"": ""ArXiv"", ""url"": ""https://arxiv.org/abs/2606.24231""}}",2026-06-24T13:44:24.428692
https://arxiv.org/abs/2606.24667,"{""schemaVersion"": ""1.0"", ""recordType"": ""RESEARCH_PAPER"", ""content"": {""title"": ""DREAM: Dense Retrieval Embeddings via Autoregressive Modeling"", ""authors"": [""Yixuan Tang"", ""Yi Yang""], ""paper_url"": ""https://arxiv.org/abs/2606.24667"", ""github_url"": ""https://github.com/yixuantt/DREAM"", ""github_stars"": 2, ""published_date"": ""2026-06-23 00:00:00+00:00"", ""research_domain"": ""LLM""}, ""confidence"": 0.85, ""extraction_method"": ""LLM"", ""source"": {""name"": ""ArXiv"", ""url"": ""https://arxiv.org/abs/2606.24667""}}",2026-06-24T13:44:36.215996
